sampleid,roi,gtype
A1,0,WT
A2,0,5RS
A3,0,5RSC
A4,0,5RSC
A5,0,5HG
A6,0,5HG
A7,0,5HGC
B1,0,5RS
B2,0,WT
B3,0,5RSC
B4,0,WT
B5,0,5HG
B6,0,5HG
B7,0,5HGC
C1,0,5RS
C2,0,5RS
C3,0,WT
C4,0,5RSC
C5,0,5HG
C6,0,5HGC
C7,0,5HGC
D1,0,5RS
D2,0,WT
D3,0,5RSC
D4,0,WT
D5,0,5HG
D6,0,5HGC
D7,0,5HGC
E1,0,WT
E2,0,5RS
E3,0,5RSC
E4,0,5RSC
E5,0,WT
E6,0,5HGC
E7,0,WT
F1,0,5RS
F2,0,5RS
F3,0,5RSC
F4,0,5HG
F5,0,5HG
F6,0,WT
F7,0,5HGC
